pokemon_id,golpe_nome
1,Vine Whip
2,Razor Leaf
3,Solar Beam
4,Ember
5,Flamethrower
6,Flamethrower
7,Water Gun
8,Bubble Beam
9,Hydro Pump
10,String Shot
11,Harden
12,Psybeam
13,Poison Sting
14,Harden
15,Twineedle
16,Gust
17,Wing Attack
18,Wing Attack
19,Quick Attack
20,Hyper Fang
21,Peck
22,Drill Peck
23,Wrap
24,Glare
25,Thunderbolt
26,Thunder
27,Sand Attack
28,Slash
29,Scratch
30,Bite
31,Earthquake
32,Horn Attack
33,Horn Attack
34,Earthquake
35,Metronome
36,Moonblast
37,Ember
38,Flamethrower
39,Sing
40,Body Slam
41,Leech Life
42,Wing Attack
43,Absorb
44,Acid
45,Petal Dance
46,Spore
47,Spore
48,Confusion
49,Psybeam
50,Dig
51,Earthquake
52,Pay Day
53,Slash
54,Confusion
55,Hydro Pump
56,Karate Chop
57,Cross Chop
58,Ember
59,Flamethrower
60,Water Gun
61,Water Gun
62,Submission
63,Teleport
64,Psybeam
65,Psychic
66,Low Kick
67,Seismic Toss
68,Cross Chop
69,Vine Whip
70,Acid
71,Razor Leaf
72,Acid
73,Hydro Pump
74,Rock Throw
75,Rock Slide
76,Earthquake
77,Ember
78,Fire Blast
79,Confusion
80,Psychic
81,Thunder Shock
82,Thunderbolt
83,Cut
84,Peck
85,Drill Peck
86,Aurora Beam
87,Ice Beam
88,Sludge
89,Sludge Bomb
90,Clamp
91,Spike Cannon
92,Lick
93,Night Shade
94,Shadow Ball
95,Rock Slide
96,Hypnosis
97,Psychic
98,Vise Grip
99,Crabhammer
100,Sonic Boom
101,Explosion
102,Barrage
103,Egg Bomb
104,Bone Club
105,Bonemerang
106,Hi Jump Kick
107,Mach Punch
108,Lick
109,Smog
110,Sludge
111,Horn Attack
112,Horn Drill
113,Soft-Boiled
114,Vine Whip
115,Dizzy Punch
116,Water Gun
117,Hydro Pump
118,Horn Attack
119,Waterfall
120,Swift
121,Psychic
122,Barrier
123,Slash
124,Lovely Kiss
125,Thunder Punch
126,Fire Punch
127,Guillotine
128,Body Slam
129,Splash
130,Hydro Pump
131,Ice Beam
132,Transform
133,Quick Attack
134,Surf
135,Thunderbolt
136,Fire Blast
137,Tri Attack
138,Water Gun
139,Hydro Pump
140,Scratch
141,Slash
142,Hyper Beam
143,Body Slam
144,Blizzard
145,Thunder
146,Fire Blast
147,Wrap
148,Slam
149,Hyper Beam
150,Psychic
151,Transform
